OTU,log2FoldChange,pval,Sample,Phylum,Class,Order,Family,Genus,,,,,,OTU,
1260,5.386334906,6.83E-07,11/15/16 Manure Line,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,,,,,Otu,1260
1306,5.010579306,0.004738941,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,1306
1309,2.806715385,0.308308733,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcaceae_unclassified,,,,,,Otu,1309
1326,2.676669645,0.635679642,11/15/16 Manure Line,Synergistetes,Synergistia,Synergistales,Synergistaceae,Synergistaceae_unclassified,,,,,,Otu,1326
1384,2.403645717,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1384
1403,2.688782185,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1403
1421,4.719957575,0.010164815,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1421
1435,4.128066056,0.050786697,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_unclassified,,,,,,Otu,1435
1440,4.605946049,0.002070558,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,,,,,,Otu,1440
1446,2.649968283,0.635679642,11/15/16 Manure Line,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1446
1458,2.068859406,0.635679642,11/15/16 Manure Line,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,,,,,,Otu,1458
1500,4.684831228,2.46E-05,11/15/16 Manure Line,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,,,,,,Otu,1500
1545,2.996774178,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,,,,,Otu,1545
1554,0.875223841,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,,,,Otu,1554
1596,4.123271177,0.019946911,11/15/16 Manure Line,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,1596
1619,1.884811118,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonadaceae_unclassified,,,,,,Otu,1619
1626,4.496667761,0.00954347,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Tissierella,,,,,,Otu,1626
1635,0.169457365,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,1635
1647,3.101139195,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1647
1654,2.094761963,0.635679642,11/15/16 Manure Line,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Facklamia,,,,,,Otu,1654
1708,3.976272871,0.147598731,11/15/16 Manure Line,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,,,,,,Otu,1708
1838,2.390198464,0.635679642,11/15/16 Manure Line,Firmicutes,Clostridia,Clostridiales,Clostridiales_unclassified,Clostridiales_unclassified,,,,,,Otu,1838
1851,2.403176897,0.635679642,11/15/16 Manure Line,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,,,,Otu,1851
1887,2.218299578,0.635679642,11/15/16 Manure Line,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,1887
1922,2.389921518,0.635679642,11/15/16 Manure Line,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,,,,,,Otu,1922
2,4.444799813,0.001316037,11/15/16 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,2
5,2.23310237,0.22555195,11/15/16 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Petrimonas,,,,,,Otu,5
7,5.298438757,0.000107899,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XI,Clostridiales_Incertae_Sedis_XI_unclassified,,,,,,Otu,7
11,-0.354307935,0.999992225,11/15/16 Soil,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,,,,,,Otu,11
21,5.05292212,0.000169825,11/15/16 Soil,Firmicutes,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,Firmicutes_unclassified,,,,,,Otu,21
39,4.09032037,0.005290792,11/15/16 Soil,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,,,,,,Otu,39
51,0.642306603,0.801366855,11/15/16 Soil,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,,,,,,Otu,51
60,2.424703596,0.256724949,11/15/16 Soil,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonadaceae_unclassified,,,,,,Otu,60
